,number,name
0,0,Brado
1,1,Broadway2
2,2,Broadway1 
3,3,🅑🅡🅞🅐🅓🅦🅐🅨
4,4,Stats
5,5,Math
6,6,Econ 
7,7,Computer Science
8,8,Songs that make ｄｅｓｉｓ go crazy
9,9,ˡᵒʷᵏᵉʸ RAP 
10,10,𝓕𝓤𝓝 𝓽𝓲𝓶𝓮𝓼 
11,11,𝔽𝕦𝕟𝕟𝕪 𝕒𝕤 𝔽𝕦𝕔𝕜
12,12,𝒟𝓇𝒶𝓂𝒶𝓉𝒾𝒸  Sing-Alongs
13,13,ＥＴＥＲＮＡＬ  Bops
14,14,Ǝuןıƃɥʇǝuıuƃ music
15,15,𝚃𝙾𝙿 𝟷𝟻
16,16,𝐇𝐘𝐏𝐄
17,17,ᵘᵖˡᶦᶠᵗᶦⁿᵍ
18,18,s͛t͛a͛t͛e͛ ͛o͛f͛ ͛m͛i͛n͛d͛ ͛
19,19,ᴍᴇʟʟᴏᴡ ᴠɪʙᴇs
20,20,𝔹𝕆ℙℙ𝕐 𝓋𝒾𝒷ℯ𝓈
21,21,𝑣𝑖𝑏𝑒
22,22,𝚘𝚕𝚍𝚒𝚎𝚜 𝚋𝚞𝚝 𝚐𝚘𝚕𝚍𝚒𝚎𝚜
23,23,𝒟𝒾𝓈𝓃ℯ𝓎
24,24,ＭＥＬＯＤＩＣ
25,25,Sing-Along Current
26,26,Hype pt. 2
27,27,Mellow Rap
28,28,yup
29,29,c͢o͢n͢c͢e͢n͢t͢r͢a͢t͢i͢o͢n͢
30,30,Sing-Along/Good Times
31,31,Car Jams
32,32,Master Simp
33,33,People think this is rap but it really isn't
