,Unnamed: 0,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,hollywood,show tunes,post-teen pop,broadway,vocal jazz,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap,atl hip hop,dance pop,pop,pop rap,r&b,urban contemporary,deep talent show,movie tunes,philly rap,southern hip hop,australian dance,australian pop,deep underground hip hop,indie pop rap,trap,underground hip hop
0,0,3IkWmgGsXbsafrunwPojXO,From Now On,74,Hugh Jackman,False,2017-12-08,0.516,0.518,-10.383,1,0.04,0.00483,0.00895,0.585,0.0834,108.027,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0GVuLQtPXFaL18ijEOqoAa,Tightrope,71,Michelle Williams,False,2017-12-08,0.35100000000000003,0.331,-10.315999999999999,1,0.0382,0.3,9.14e-06,0.0919,0.191,161.564,['hollywood'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2cKovq3l6OJjhVVDbVKOsr,The Other Side,75,Hugh Jackman,False,2017-12-08,0.638,0.795,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,65fpYBrI8o2cfrwf2US4gq,Rewrite The Stars,78,Zac Efron,False,2017-12-08,0.684,0.619,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,"['hollywood', 'post-teen pop', 'show tunes']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,77,Ziv Zaifman,False,2017-12-08,0.265,0.312,-11.689,1,0.0569,0.243,0.0,0.0893,0.0998,54.747,['show tunes'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4TTV7EcfroSLWzXRY6gLv6,Alexander Hamilton,71,Leslie Odom Jr.,False,2015-09-25,0.609,0.435,-7.862,0,0.284,0.524,0.0,0.11800000000000001,0.563,131.998,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4cxvludVmQxryrnx1m9FqL,My Shot,70,Lin-Manuel Miranda,True,2015-09-25,0.8290000000000001,0.649,-6.763999999999999,1,0.317,0.15,0.0,0.0904,0.569,90.936,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3nJYcY9yvKP8Oi2Ml8brXt,Right Hand Man,66,Lin-Manuel Miranda,True,2015-09-25,0.68,0.413,-9.41,1,0.49200000000000005,0.177,0.0,0.205,0.384,158.58,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,7qfoq1JFKBUEIvhqOHzuqX,Non-Stop,66,Leslie Odom Jr.,False,2015-09-25,0.772,0.48200000000000004,-9.529,1,0.35100000000000003,0.21100000000000002,0.0,0.223,0.441,92.01700000000001,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,54Sc7mZQ1RM03STpk4SfaA,Helpless,68,Phillipa Soo,False,2015-09-25,0.688,0.491,-7.494,1,0.26899999999999996,0.335,0.0,0.0914,0.737,79.01100000000001,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
